Country,total-doses-administered,% of population fully vaccinated
Afghanistan,12526397,28
Albania,3025728,44
Algeria,15267442,15
Angola,23701049,26
Argentina,113272665,84
Armenia,2150112,33
Aruba,174215,79
Australia,63634307,85
Austria,20263306,77
Azerbaijan,13857111,49
Bahamas,364701,43
Bahrain,3476633,75
Bangladesh,344352422,79
Barbados,381013,54
Belarus,17358735,68
Belgium,29593429,80
Belize,501952,57
Benin,4232541,23
Bhutan,2011426,89
Bolivia,14690530,54
Bosnia and Herzegovina,1924950,26
Botswana,3121142,62
Brazil,482332527,83
Brunei,1283392,99
Bulgaria,4605190,30
Burkina Faso,5117982,16
Burundi,30480,0.2
Cambodia,45217130,89
Cameroon,3998508,12
Canada,96657606,84
Cape Verde,859940,56
Central African Republic,2354281,41
Chad,3891785,23
Chile,62630785,93
Colombia,90046356,73
Comoros,835021,47
Congo,17435502,7.8
Costa Rica,12666724,85
Croatia,5356912,55
Cuba,42902003,88
Curaçao,256029,63
Cyprus,1797542,54
Czech Republic,18600667,65
Denmark,13164483,82
Djibouti,338051,31
Dominican Rep.,16185178,57
Ecuador,39357012,82
Egypt,101068826,40
El Salvador,11289175,67
Equatorial Guinea,488738,16
Estonia,2103130,64
Eswatini,773579,43
Ethiopia,52509414,33
Fiji,1551808,72
Finland,13160054,79
France,153788820,79
French Polynesia,497169,67
Gabon,572672,12
Gambia,815861,19
Georgia,2930677,34
Germany,190625555,76
Ghana,21400939,30
Greece,22059587,71
Grenada,90507,35
Guatemala,20004849,42
Guinea,8749048,26
Guinea-Bissau,673091,21
Guyana,953690,49
Haiti,512556,2.1
Honduras,16850623,59
Hong Kong,20462274,91
Hungary,16701238,64
Iceland,805469,80
India,2201655453,70
Indonesia,447461191,65
Iran,154773070,71
Iraq,19557364,20
Ireland,11098406,82
Israel,18623802,68
Italy,143542826,80
Ivory Coast,23755644,45
Jamaica,1508319,25
Japan,374040614,82
Jordan,10057975,45
Kazakhstan,20918681,57
Kenya,23063539,21
Kiribati,193491,63
Kosovo,1837224,45
Kuwait,8256563,79
Kyrgyzstan,3383537,21
Laos,11111066,73
Latvia,2895716,68
Lebanon,5814699,35
Lesotho,1259488,44
Liberia,4460668,76
Libya,3716080,18
Lithuania,4541773,67
Luxembourg,1371892,75
Macau,1791888,99
Madagascar,2379808,7.3
Mainland China,3488058000,91
Malawi,6367571,20
Malaysia,72447190,86
Maldives,951419,73
Mali,4345592,13
Malta,1378418,94
Mauritania,4053878,34
Mauritius,2612729,86
Mexico,225063079,65
Moldova,2266205,40
Mongolia,5492919,67
Montenegro,679171,46
Morocco,55363895,64
Mozambique,29140427,61
Myanmar,64549994,51
Namibia,972893,21
Nepal,60403215,84
Netherlands,36104942,69
New Caledonia,478127,64
New Zealand,11962926,84
Nicaragua,12144072,91
Niger,7187711,23
Nigeria,102292641,30
North Macedonia,1862610,40
Norway,12145560,76
Oman,7086050,61
Pakistan,317696373,61
Panama,8696911,75
Papua New Guinea,711981,3.5
Paraguay,9514267,50
Peru,86812329,87
Philippines,169779996,68
Poland,57837829,60
Portugal,27762439,87
Qatar,7603722,99
Republic of the Congo,833210,12
Romania,16827486,42
Russia,184226161,55
Rwanda,26106436,73
Saint Lucia,122977,30
Saint Vincent and the Grenadines,73301,29
Samoa,449439,90
São Tomé and Príncipe,227825,48
Saudi Arabia,68148406,74
Senegal,2709648,8.3
Serbia,8534688,47
Sierra Leone,6158679,44
Singapore,14727569,90
Slovakia,5754313,47
Slovenia,2996643,59
Solomon Islands,625956,38
Somalia,8726329,42
South Africa,38050611,36
South Korea,129647782,86
South Sudan,2310167,20
Spain,104536856,87
Sri Lanka,40116590,68
Sudan,13711970,19
Suriname,505699,41
Sweden,25537528,74
Switzerland,16886862,70
Syria,4940436,13
Taiwan,64721772,87
Tajikistan,18871161,55
Tanzania,35994687,50
Thailand,142635014,77
Timor-Leste,1984560,61
Togo,3396543,18
Tonga,207744,74
Trinidad and Tobago,1580898,51
Tunisia,13241221,55
Turkey,152543341,64
Turkmenistan,8286809,62
U.A.E.,24922054,99
U.K.,151248820,76
Uganda,26299538,29
Ukraine,31668577,34
United States,632905664,68
Uruguay,8832620,84
Uzbekistan,71888007,53
Vanuatu,293584,44
Venezuela,37860994,52
Vietnam,265336568,89
West Bank & Gaza,3748571,38
Yemen,1242982,2.6
Zambia,12655676,48
Zimbabwe,12222754,32
